Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,Distance_km,DrivingTime_h
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Sacramento , United States",United States,38.5815719,-121.4943996,141.0,1.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Carson City , United States",United States,39.1637984,-119.7674034,347.0,3.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Olympia , United States",United States,47.0378741,-122.9006951,1204.0,11.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Salem , United States",United States,42.51954,-70.8967155,5018.0,45.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Austin , United States",United States,30.267153,-97.7430608,2837.0,25.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Helena , United States",United States,46.5883707,-112.0245054,1765.0,16.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Montgomery , United States",United States,32.3668052,-86.2999689,3824.0,35.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Phoenix , United States",United States,33.4483771,-112.0740373,1213.0,11.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Tallahassee , United States",United States,30.4382559,-84.2807329,4249.0,37.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Raleigh , United States",United States,35.7795897,-78.6381787,4571.0,41.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Springfield , United States",United States,42.1014831,-72.589811,4856.0,44.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Charleston , United States",United States,32.7764749,-79.9310512,4470.0,40.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Bismarck , United States",United States,46.8083268,-100.7837392,2537.0,23.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Jefferson City , United States",United States,38.5767017,-92.1735164,3157.0,28.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Albany , United States",United States,42.6525793,-73.7562317,4723.0,42.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Juneau , United States",United States,58.3019444,-134.4197221,4048.0,51.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Harrisburg , United States",United States,40.2731911,-76.8867008,4465.0,40.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Pierre , United States",United States,44.3683156,-100.3509665,2496.0,22.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Annapolis , United States",United States,38.9784453,-76.4921829,4568.0,41.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Concord , United States",United States,43.2081366,-71.5375718,4955.0,45.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Trenton , United States",United States,40.2170534,-74.7429384,4660.0,42.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Honolulu , United States",United States,21.3069444,-157.8583333,1000000.0,1000000.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Madison , United States",United States,43.0730517,-89.4012302,3368.0,30.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Nashville , United States",United States,36.1626638,-86.7816016,3706.0,33.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Des Moines , United States",United States,41.6005448,-93.6091064,2896.0,25.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Atlanta , United States",United States,33.7489954,-84.3879824,3980.0,36.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Saint Paul , United States",United States,44.9537029,-93.0899578,3178.0,28.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Columbus , United States",United States,39.9611755,-82.9987942,3944.0,35.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Oklahoma City , United States",United States,35.4675602,-97.5164276,2618.0,23.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Frankfort , United States",United States,38.2009055,-84.8732835,3804.0,34.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Topeka , United States",United States,39.0558235,-95.6890185,2867.0,25.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Denver , United States",United States,39.7392358,-104.990251,2018.0,18.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Jackson , United States",United States,32.2987573,-90.1848103,3436.0,31.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Washington D.C. , United States",United States,38.9071923,-77.0368707,4534.0,41.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Baton Rouge , United States",United States,30.4582829,-91.1403196,3546.0,31.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Richmond , United States",United States,37.5407246,-77.4360481,4623.0,41.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Boston , United States",United States,42.3600825,-71.0588801,4988.0,45.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Hartford , United States",United States,41.7637111,-72.6850932,4840.0,43.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Providence , United States",United States,41.8239891,-71.4128343,4964.0,45.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Lincoln , United States",United States,40.8257625,-96.6851982,2601.0,23.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Little Rock , United States",United States,34.7464809,-92.2895948,3160.0,28.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Augusta , United States",United States,33.4734978,-82.0105148,4212.0,38.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Columbia , United States",United States,34.0007104,-81.0348144,4323.0,39.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Lansing , United States",United States,42.732535,-84.5555347,3755.0,33.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Cheyenne , United States",United States,41.1399814,-104.8202462,1888.0,17.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Indianapolis , United States",United States,39.768403,-86.158068,3662.0,32.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Salt Lake City , United States",United States,40.7607793,-111.8910474,1184.0,10.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"None , United States",United States,34.1657949,-118.3462545,598.0,5.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Santa Fe , United States",United States,35.6869752,-105.937799,1846.0,16.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Sacramento , United States",United States,38.5815719,-121.4943996,2778.0,25.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Carson City , United States",United States,39.1637984,-119.7674034,2652.0,24.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Olympia , United States",United States,47.0378741,-122.9006951,3444.0,31.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Salem , United States",United States,42.51954,-70.8967155,2864.0,26.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Austin , United States",United States,30.267153,-97.7430608,313.0,2.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Helena , United States",United States,46.5883707,-112.0245054,2548.0,23.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Montgomery , United States",United States,32.3668052,-86.2999689,1040.0,9.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Phoenix , United States",United States,33.4483771,-112.0740373,1712.0,15.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Tallahassee , United States",United States,30.4382559,-84.2807329,1344.0,12.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Raleigh , United States",United States,35.7795897,-78.6381787,1908.0,17.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Springfield , United States",United States,42.1014831,-72.589811,2716.0,25.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Charleston , United States",United States,32.7764749,-79.9310512,1748.0,15.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Bismarck , United States",United States,46.8083268,-100.7837392,1827.0,17.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Jefferson City , United States",United States,38.5767017,-92.1735164,888.0,8.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Albany , United States",United States,42.6525793,-73.7562317,2657.0,24.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Juneau , United States",United States,58.3019444,-134.4197221,5364.0,62.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Harrisburg , United States",United States,40.2731911,-76.8867008,2225.0,20.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Pierre , United States",United States,44.3683156,-100.3509665,1505.0,14.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Annapolis , United States",United States,38.9784453,-76.4921829,2200.0,20.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Concord , United States",United States,43.2081366,-71.5375718,2915.0,26.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Trenton , United States",United States,40.2170534,-74.7429384,2410.0,22.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Honolulu , United States",United States,21.3069444,-157.8583333,1000000.0,1000000.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Madison , United States",United States,43.0730517,-89.4012302,1594.0,15.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Nashville , United States",United States,36.1626638,-86.7816016,1068.0,9.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Des Moines , United States",United States,41.6005448,-93.6091064,1124.0,10.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Atlanta , United States",United States,33.7489954,-84.3879824,1257.0,11.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Saint Paul , United States",United States,44.9537029,-93.0899578,1522.0,14.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Columbus , United States",United States,39.9611755,-82.9987942,1676.0,15.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Oklahoma City , United States",United States,35.4675602,-97.5164276,331.0,3.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Frankfort , United States",United States,38.2009055,-84.8732835,1401.0,12.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Topeka , United States",United States,39.0558235,-95.6890185,798.0,7.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Denver , United States",United States,39.7392358,-104.990251,1278.0,11.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Jackson , United States",United States,32.2987573,-90.1848103,652.0,5.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Washington D.C. , United States",United States,38.9071923,-77.0368707,2138.0,19.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Baton Rouge , United States",United States,30.4582829,-91.1403196,692.0,6.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Richmond , United States",United States,37.5407246,-77.4360481,2055.0,18.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Boston , United States",United States,42.3600825,-71.0588801,2835.0,26.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Hartford , United States",United States,41.7637111,-72.6850932,2687.0,24.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Providence , United States",United States,41.8239891,-71.4128343,2782.0,25.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Lincoln , United States",United States,40.8257625,-96.6851982,1030.0,9.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Little Rock , United States",United States,34.7464809,-92.2895948,514.0,4.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Augusta , United States",United States,33.4734978,-82.0105148,1490.0,13.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Columbia , United States",United States,34.0007104,-81.0348144,1601.0,14.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Lansing , United States",United States,42.732535,-84.5555347,1851.0,16.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Cheyenne , United States",United States,41.1399814,-104.8202462,1438.0,13.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Indianapolis , United States",United States,39.768403,-86.158068,1447.0,13.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Salt Lake City , United States",United States,40.7607793,-111.8910474,1999.0,19.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"None , United States",United States,34.1657949,-118.3462545,2329.0,20.0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.7969879,1,"Santa Fe , United States",United States,35.6869752,-105.937799,1029.0,9.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Sacramento , United States",United States,38.5815719,-121.4943996,3971.0,36.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Carson City , United States",United States,39.1637984,-119.7674034,3889.0,35.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Olympia , United States",United States,47.0378741,-122.9006951,4345.0,39.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Salem , United States",United States,42.51954,-70.8967155,1761.0,16.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Austin , United States",United States,30.267153,-97.7430608,1539.0,13.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Helena , United States",United States,46.5883707,-112.0245054,3310.0,30.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Montgomery , United States",United States,32.3668052,-86.2999689,258.0,2.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Phoenix , United States",United States,33.4483771,-112.0740373,2970.0,26.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Tallahassee , United States",United States,30.4382559,-84.2807329,420.0,4.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Raleigh , United States",United States,35.7795897,-78.6381787,651.0,6.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Springfield , United States",United States,42.1014831,-72.589811,1613.0,15.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Charleston , United States",United States,32.7764749,-79.9310512,491.0,4.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Bismarck , United States",United States,46.8083268,-100.7837392,2502.0,22.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Jefferson City , United States",United States,38.5767017,-92.1735164,1103.0,10.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Albany , United States",United States,42.6525793,-73.7562317,1614.0,14.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Juneau , United States",United States,58.3019444,-134.4197221,6013.0,66.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Harrisburg , United States",United States,40.2731911,-76.8867008,1150.0,10.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Pierre , United States",United States,44.3683156,-100.3509665,2225.0,19.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Annapolis , United States",United States,38.9784453,-76.4921829,1080.0,10.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Concord , United States",United States,43.2081366,-71.5375718,1812.0,17.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Trenton , United States",United States,40.2170534,-74.7429384,1299.0,12.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Honolulu , United States",United States,21.3069444,-157.8583333,1000000.0,1000000.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Madison , United States",United States,43.0730517,-89.4012302,1397.0,12.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Nashville , United States",United States,36.1626638,-86.7816016,401.0,3.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Des Moines , United States",United States,41.6005448,-93.6091064,1450.0,13.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Atlanta , United States",United States,33.7489954,-84.3879824,0.0,0.0
